routeKey,class,TT_freeflow
1231065643->439836130#0,veh_passenger,533.0
509646062->33683346#0,veh_passenger,340.0
1064398309#0->-142741729#0,veh_passenger,112.0
33683346#2->1421367508,veh_passenger,917.0
-1335304372->-50323229#14,veh_passenger,188.0
160078084->8887999#1,truck_truck,375.0
39838520#3->39366819#1,veh_passenger,16.0
-451728952#3->-509646052,veh_passenger,139.0
-479863106#0->-488788629,veh_passenger,14.0
10250021#4->490474063#0,veh_passenger,323.0
513082641#0->-654297630,veh_passenger,297.0
1297720376#1->1254816455,veh_passenger,120.0
10250021#0->511187808#2,veh_passenger,316.0
509646063#0->-413789558#1,veh_passenger,299.0
39920505#5->450616334#1,veh_passenger,495.0
-488788630#1->488788626#0,veh_passenger,295.0
-428730813#3->-1211151635#0,veh_passenger,126.0
1338361263->10748045#1,veh_passenger,390.0
-474143552#0->654297635#1,bus_bus,316.0
511405572->238219472#0,veh_passenger,148.0
437445539#0->1074409232#1,veh_passenger,241.0
-10629474#0->666886084#1,veh_passenger,304.0
178441748#0->1326437250,veh_passenger,367.0
488788629->428730793#1,truck_truck,585.0
509646061->50323229#11,veh_passenger,432.0
-1326094888->40297715#3,veh_passenger,329.0
40035904#1->39920505#5,veh_passenger,317.0
40115810#1->10628442#3,veh_passenger,350.0
15420537#1->1234244927#0,veh_passenger,302.0
39839131->1125986385#0,bus_bus,272.0
-654297629#1->-515123442#3,bus_bus,157.0
975216739->1068144845#3,veh_passenger,155.0
511187811->240666069#3,truck_truck,283.0
40036009#0->1068144845#4,veh_passenger,336.0
10629709#1->-654297629#5,bus_bus,470.0
511404874#1->1335304372,veh_passenger,251.0
10748045#1->513087670,veh_passenger,403.0
50323229#13->39838630#2,truck_truck,439.0
1064476623->-39838630#1,veh_passenger,95.0
465144361->381945551,veh_passenger,242.0
401226926#1->1273251150#1,veh_passenger,156.0
-1125986377#0->1237953493,veh_passenger,83.0
-10250021#3->1260485932,veh_passenger,179.0
240666072#0->1323097575#2,veh_passenger,391.0
1332638391#2->-1332638391#0,veh_passenger,34.0
178702258#0->515124966,bus_bus,116.0
-1214520068->-40035325#2,veh_passenger,267.0
654297631->1323097579#1,veh_passenger,288.0
-40140017#3->-1273251150#1,veh_passenger,202.0
1255099064->511404873#0,veh_passenger,245.0
47267011#0->39838691#3,veh_passenger,177.0
-437445539#0->-488788637#1,veh_passenger,377.0
15525299->10628442#0,veh_passenger,354.0
-654530820#1->-33683458#0,veh_passenger,408.0
521701858-AddedOffRampEdge->-413789558#1,veh_passenger,78.0
428730807->666886084#1,veh_passenger,255.0
50323229#9->47087992#3,bus_bus,695.0
-1332638391#1->761486028#1,veh_passenger,129.0
-1273251150#1->39838751#0,veh_passenger,318.0
474143552#2->-50323229#7,veh_passenger,311.0
-450616334#1->-33683346#2,veh_passenger,434.0
511404877->10629709#1,bus_bus,483.0
178583141->-564273553#4,bus_bus,246.0
